Wood,Oven,Phase,IO_02L_Avg,UO_02_Avg,AO_02_Avg,IO_04R_Avg,FB_01_Avg,IO_01T_Avg,SA_01_Avg,P_01_Avg,AO_01_Avg,Roofline,Chimney,T_eff_Pot_1(%),T_eff_Pot_2(%)
M,NO,Low,151.7,127.9,120,139.5,411,153.4,158.7,161.6,163.2,53.96,83.7,12.688579034450779,4.229526344817177
M,NO,Low,151.3,127.6,119.7,139.2,409.5,153,158.1,161.2,162.7,53.85,83.5,8.541926709032094,1.0677408386295808
M,NO,Low,151,127.4,119.4,138.9,407.9,152.7,157.5,160.7,162,53.74,83.3,10.78534834198144,0
M,NO,Low,150.6,127.2,119.1,138.6,406.4,152.3,156.9,160.3,161.5,53.64,83.1,5.448912070961322,-3.269347242577102
M,NO,Low,150.3,127,118.8,138.3,404.8,151.9,156.4,159.7,161,53.54,82.9,3.3045111469755057,-2.203007431317265
M,NO,Low,149.9,126.7,118.5,138,403.3,151.5,155.8,159.2,160.5,53.43,82.7,6.682321741624704,1.1137202902705203
M,NO,Low,149.5,126.5,118.2,137.7,401.8,151.1,155.3,158.7,160,53.35,82.5,4.5058209402333,9.011641880469002
M,NO,Low,149.2,126.3,117.9,137.4,400.3,150.7,154.7,158.3,159.6,53.25,82.3,13.676800038912084,13.676800038911274
M,NO,Low,148.8,126,117.6,137.1,398.8,150.4,154.1,157.9,159.1,53.14,82.1,11.535812301171047,18.457299681874332
M,NO,Low,148.5,125.8,117.3,136.8,397.4,150,153.6,157.4,158.6,53.03,81.9,10.512248183921448,19.85646879185107
M,NO,Low,148.1,125.6,117,136.5,395.8,149.6,153,157,158.1,52.92,81.7,2.3662065102272196,18.92965208182196
M,NO,Low,147.8,125.3,116.4,136.2,394.7,149.2,152.5,156.3,156.1,52.81,81.2,14.386099037575356,19.181465383432673
M,NO,Low,147.4,125,115.7,135.9,396.2,148.9,152,155.4,153.2,52.69,80.6,2.430557138882613,12.152785694415655
M,NO,Low,147,124.8,115.2,135.6,399.1,148.5,151.4,154.8,151.4,52.59,80.3,2.4649063091785726,30.811328864716387
M,NO,Low,146.7,124.6,114.9,135.3,401.7,148.1,150.9,154.1,150,52.48,79.94,7.5024452805507815,20.00652074813897
M,NO,Low,146.3,124.3,114.6,135,403.6,147.7,150.4,153.5,148.7,52.37,79.65,11.42268790822156,24.114563361800773
M,NO,Low,146,124.1,114.2,134.7,404.7,147.3,149.9,152.8,147.5,52.25,79.36,12.888429272781355,18.04380098189243
M,NO,Low,145.6,123.9,113.9,134.5,405.2,146.9,149.3,152.1,146.3,52.15,79.09,3.928283636786709,15.713134547145907
M,NO,Low,145.3,123.7,113.6,134.2,405.3,146.6,148.8,151.5,145.2,52.05,78.81,5.324005939866524,7.986008909801677
M,NO,Low,144.9,123.5,113.3,133.9,405,146.2,148.2,150.8,144.2,51.95,78.56,4.060884848293493,9.475397979351165
M,O,High,203.4,292.9,180.1,150,742.7,221.9,296.3,462.3,458.3,73.23,138.1,51.76165738906769,-0.8062563456241187
M,O,High,204.7,293.9,181.4,150.5,743.5,223.1,298.3,467.8,459.7,73.49,138.8,15.402567083273208,10.376466245573548
M,O,High,206.1,295,183,151.2,744.4,224.3,300.3,471.6,463.2,73.73,139.5,21.678061253165,21.026089486152532
M,O,High,207.4,296.2,184.7,152,745.5,225.5,302.3,473.8,466.6,74.01,140.1,17.366262795523387,9.99379274082003
M,O,High,208.8,297.2,186,152.8,746.4,226.7,304.5,473.5,466.6,74.29,140.5,16.629777452569805,7.4093067857984325
M,O,High,210.1,298,187.1,153.7,747.1,227.9,306.5,470,465.1,74.55,141,21.839252420776983,6.121608633096595
M,O,High,211.5,298.9,188.4,154.6,747.8,229.1,308.3,464.8,463.4,74.79,141.4,17.28750690826541,5.817910978743196
M,O,High,212.8,299.9,189.6,155.5,748.8,230.3,310,460.1,461.2,75.03,141.9,21.03992299309056,4.675538442908968
M,O,High,214.1,300.7,190.8,156.4,750,231.4,311.5,457.5,459.2,75.29,142.4,18.28174648740178,7.379787572896153
M,O,High,215.5,301.4,191.7,157.3,750.4,232.6,313.2,457.1,457.7,75.56,142.7,7.916875459255654,9.09598457020863
M,O,High,216.8,302.2,192.5,158.2,751.1,233.7,314.8,458.5,458,75.83,143.2,23.850178372333804,6.596857847666807
M,O,High,218.1,302.9,193.2,159.1,752.3,234.8,316.4,461.1,460.4,76.06,143.6,26.49539378175931,8.49211339158951
M,O,High,219.4,303.8,193.9,160,753.5,235.9,317.8,462.8,463.8,76.29,144.1,11.766028636683282,6.820886166193205
M,O,High,220.7,304.6,194.8,160.9,754.7,237.1,319.3,466.6,465.1,76.53,144.5,14.893678134866505,7.8748183241822645
M,O,High,222,305.4,196,161.9,756.1,238.2,320.6,468,466.3,76.79,144.7,18.216391395155558,7.217815458457924
M,O,High,223.3,306.2,197.6,162.8,757.8,239.2,321.7,467.2,466.5,77.01,144.9,21.563383554919735,7.590311011331707
M,O,High,224.6,306.9,199.2,163.7,759.6,240.3,322.7,464.5,466,77.22,145.1,15.930381869707189,6.406784012817027
M,O,High,225.9,307.3,200.5,165,760.9,241.3,323.6,458.8,462.1,77.48,145.2,4.518852547800987,5.214060632078115
M,O,High,227.1,307.3,201.5,166.3,761.7,242.3,324.4,452.7,457.8,77.72,145.1,23.72458198808122,8.547827333941003
M,O,High,228.3,306.8,202,167.3,762.1,243.3,325,446.2,451.6,77.94,144.9,10.680348574329583,5.777893491030794
M,O,High,229.5,305.9,202.1,168.2,762.1,244.2,325.5,440.4,443.4,78.19,144.7,22.493372246544382,5.974802002988343
M,O,High,230.7,304.8,201.8,169.1,761.7,245.1,325.8,434.5,435.9,78.44,144.4,14.638816762843499,6.525737593074781
M,O,High,231.8,303.8,201.4,170,761.2,245.9,326,430.2,428.9,78.67,144.1,20.0024983712997,8.67364973622732
M,O,High,232.9,302.8,201,170.8,762.3,246.7,326.6,426.5,424.3,78.86,143.8,6.750896687952085,4.263724223969682
M,O,High,234,302.9,201.9,171.7,766.1,247.4,328.4,422.8,423.3,79.06,143.9,17.29475697929641,7.131858548163514
M,O,High,235,304.4,204.1,172.5,770,248.1,330.3,420.4,431.7,79.28,144.4,15.925321456930636,7.157447845811491
